epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5010.54,1.47161,1.3284,1.48217,0.67277,0.51998,0.60839,0.37214,1.53332,1.35808,1.55235,0.0011882,0.0011882,0.0011882
43,5950.16,1.4708,1.31802,1.48443,0.69581,0.52434,0.61963,0.37433,1.5451,1.323,1.56996,0.0011684,0.0011684,0.0011684
44,6799.8,1.45704,1.30995,1.47732,0.68606,0.52147,0.61929,0.37224,1.53182,1.33589,1.55727,0.0011486,0.0011486,0.0011486
45,7634.98,1.46094,1.31569,1.48497,0.69536,0.49206,0.60439,0.36434,1.55857,1.3706,1.57527,0.0011288,0.0011288,0.0011288
46,8472.76,1.44891,1.2845,1.46753,0.68924,0.48407,0.58955,0.35946,1.54555,1.39047,1.57949,0.001109,0.001109,0.001109
47,806.241,1.4187,1.24978,1.45187,0.72354,0.49762,0.61695,0.37228,1.56199,1.3322,1.56649,0.0010892,0.0010892,0.0010892
48,1608.48,1.41863,1.24172,1.44149,0.70867,0.51323,0.62486,0.38135,1.53234,1.33781,1.55846,0.0010694,0.0010694,0.0010694
49,2409.06,1.40898,1.24017,1.43959,0.69122,0.52115,0.6235,0.38005,1.53878,1.30291,1.55341,0.0010496,0.0010496,0.0010496
50,3209.63,1.40476,1.22617,1.44123,0.70099,0.52719,0.62433,0.38168,1.5295,1.29618,1.57342,0.0010298,0.0010298,0.0010298
51,4013.5,1.40239,1.22084,1.42982,0.70214,0.52883,0.63396,0.37988,1.54874,1.30006,1.5715,0.00101,0.00101,0.00101
52,4836.21,1.38687,1.21042,1.42447,0.71057,0.50952,0.6239,0.37846,1.53468,1.32685,1.552,0.0009902,0.0009902,0.0009902
53,5638.21,1.37939,1.19804,1.42088,0.71029,0.52862,0.63369,0.38233,1.53196,1.29091,1.55798,0.0009704,0.0009704,0.0009704
54,6441.23,1.37199,1.18934,1.41357,0.70882,0.52614,0.63199,0.3836,1.53137,1.31022,1.55572,0.0009506,0.0009506,0.0009506
55,7245.73,1.37911,1.19883,1.4265,0.70789,0.52725,0.63239,0.385,1.54144,1.28943,1.55581,0.0009308,0.0009308,0.0009308
56,8046.76,1.36902,1.17838,1.41202,0.70755,0.53413,0.6246,0.37836,1.53666,1.29922,1.55385,0.000911,0.000911,0.000911
57,8849.65,1.40837,1.22772,1.43941,0.67846,0.54233,0.62677,0.38421,1.52382,1.29545,1.5588,0.0008912,0.0008912,0.0008912
58,9653.48,1.40254,1.22581,1.43315,0.68378,0.5373,0.63579,0.38801,1.54002,1.28872,1.5511,0.0008714,0.0008714,0.0008714
59,10458.3,1.42251,1.23614,1.44715,0.71218,0.5336,0.63699,0.38884,1.50077,1.27977,1.53345,0.0008516,0.0008516,0.0008516
60,11277.5,1.40003,1.21132,1.43449,0.72609,0.5291,0.6355,0.38932,1.52202,1.27796,1.54056,0.0008318,0.0008318,0.0008318
61,12080.6,1.39389,1.1936,1.42098,0.71199,0.53889,0.64588,0.39624,1.52321,1.25287,1.54991,0.000812,0.000812,0.000812
62,12884.8,1.38942,1.19465,1.42177,0.68363,0.55109,0.64426,0.39644,1.52169,1.28539,1.53569,0.0007922,0.0007922,0.0007922
63,13687.6,1.37224,1.17029,1.40822,0.707,0.54323,0.64623,0.39711,1.50947,1.26239,1.52437,0.0007724,0.0007724,0.0007724
64,14491.1,1.38395,1.18685,1.41725,0.73261,0.53228,0.64795,0.40198,1.49531,1.25632,1.52431,0.0007526,0.0007526,0.0007526
65,15292.6,1.38174,1.19207,1.41808,0.71827,0.54631,0.64816,0.39828,1.51384,1.24779,1.5417,0.0007328,0.0007328,0.0007328
66,16095,1.37229,1.17119,1.41265,0.71116,0.55886,0.65703,0.40554,1.5105,1.21547,1.5415,0.000713,0.000713,0.000713
67,16897.7,1.36031,1.15014,1.40055,0.72607,0.54339,0.65708,0.40404,1.5013,1.23142,1.52457,0.0006932,0.0006932,0.0006932
68,17701,1.35091,1.15793,1.40075,0.70695,0.55688,0.65405,0.40038,1.52086,1.21926,1.52641,0.0006734,0.0006734,0.0006734
